# 2026-09-03 CST (linux): Local textbook, course lecture monograph, and official architecture manual manifest
category	year	title	url	filename	bytes	pages	sha256
cuda_hpc	2024	Turing GPU Tuning Guide (Architecture Tuning for SM 7.5)	https://docs.nvidia.com/cuda/archive/11.8.0/pdf/Turing_Tuning_Guide.pdf	MANUAL_NVIDIA_Turing_Tuning_Guide.pdf	207197	20	1a985d2f4e6fbac901b60ea7fcdd3b296072e1a8c913262e0068350ac43dfc2a
cuda_hpc	2026	CUDA C++ Best Practices Guide 13.1	https://docs.nvidia.com/cuda/archive/13.1.2/pdf/CUDA_C_Best_Practices_Guide.pdf	MANUAL_NVIDIA_CUDA_Cpp_Best_Practices_Guide.pdf	2335284	118	4289bfb2db6f4bdabec1262c5d5630abbaac081686c26342bf3a2be54ce2ec1f
cuda_hpc	2026	CUDA C++ Programming Guide (Official Complete Manual)	https://docs.nvidia.com/cuda/pdf/CUDA_C_Programming_Guide.pdf	MANUAL_NVIDIA_CUDA_Cpp_Programming_Guide.pdf	4660484	350	6a2aed600a20cf15fa7db1c0a64927763eb84c62955f81fa44615796e597072a
cuda_hpc	2026	CUBLAS Library User Guide	https://docs.nvidia.com/cuda/pdf/CUBLAS_Library.pdf	MANUAL_NVIDIA_cuBLAS_Library_User_Guide.pdf	1548507	150	d5bebd19cd1add998d50a8fae880f82f052daf841e2da8a058ab93f07e70e01d
cuda_hpc	2026	Floating Point and IEEE 754 Compliance for NVIDIA GPUs	https://docs.nvidia.com/cuda/archive/13.0.3/pdf/Floating_Point_on_NVIDIA_GPU.pdf	MANUAL_NVIDIA_Floating_Point_IEEE754.pdf	264009	28	27d86a05148e0d1ce9d0a4e387c62cd6a53380a580447ac7850c5a7247e537b3
cuda_hpc	2026	CUSPARSE Library User Guide	https://docs.nvidia.com/cuda/pdf/CUSPARSE_Library.pdf	MANUAL_NVIDIA_cuSPARSE_Library_User_Guide.pdf	4855088	200	fa0110fd3499d3abd0078710916b7b22aa926ef5005eb015be2fa0367eed74ca
data_analysis	1994	Gravitational waves from merging compact binaries: How accurately can one extract parameters?	https://arxiv.org/pdf/gr-qc/9402014.pdf	TEXTBOOK_Cutler_Flanagan_GW_Parameter_Extraction.pdf	782977	35	3deae8e59e794190667a45d3870e8aede76d89e4836a1574e1fd0e3305ce50fb
data_analysis	2012	Gravitational-Wave Data Analysis: Formalism and Sample Applications	https://arxiv.org/pdf/0711.1115.pdf	TEXTBOOK_Jaranowski_Krolak_Gravitational_Wave_Data_Analysis.pdf	766103	80	7031463984369352fd287a7e88a7b0fc8b6cbefb185728c4dfbf7263ae75c205
data_analysis	2013	Basics of Gravitational Wave Data Analysis	https://arxiv.org/pdf/1305.5795.pdf	TEXTBOOK_Creighton_Basics_GW_Data_Analysis.pdf	162875	23	219160bf6030d41df151660a6a209986bde645c5bec8ba19b2916baf38f3f120
data_analysis	2019	An introduction to Bayesian inference in gravitational-wave astronomy	https://arxiv.org/pdf/1809.02293.pdf	TEXTBOOK_Thrane_Talbot_Bayesian_Inference_GW_Astronomy.pdf	843286	76	9b8f83dcd885ddc20a332108a7803e56004b438ede77c9ab76c82833b34d0ded
gr_physics	1997	Spacetime and Geometry: Lecture Notes on General Relativity	https://arxiv.org/pdf/gr-qc/9712019.pdf	TEXTBOOK_Carroll_Spacetime_and_Geometry_GR.pdf	1583209	238	d4cbfeed3a18370cb7e1a256da6fa7de722982ad7f6a146b4fc0fe14a6bebf6c
gr_physics	2002	Gravitational Wave Physics (MIT Graduate Course Notes)	https://arxiv.org/pdf/astro-ph/0210481.pdf	TEXTBOOK_Hughes_Gravitational_Wave_Physics_MIT.pdf	528433	94	53713355752777c0d21457367b1b75c9000c5051f87761f0a147354af444bc45
gr_physics	2004	The Motion of Point Particles in Curved Spacetime	https://arxiv.org/pdf/gr-qc/0306052.pdf	TEXTBOOK_Poisson_Motion_of_Point_Particles_Curved_Spacetime.pdf	1367057	196	c27262aef738deefc41f8052ac1679dbd6c3b2b42198edb2740f1cf95754d52e
gr_physics	2005	The basics of gravitational-wave theory	https://arxiv.org/pdf/gr-qc/0501041.pdf	TEXTBOOK_Flanagan_Hughes_Basics_of_Gravitational_Wave_Theory.pdf	701185	60	f042760e1765d311b93c497db9d2b5a8eb810acda3138559be970f90049b174f
gr_physics	2009	Quasinormal modes of black holes and black branes	https://arxiv.org/pdf/0905.2975.pdf	TEXTBOOK_Berti_Cardoso_Quasinormal_Modes_Black_Holes.pdf	2147503	110	5497fccc8ba0b4ea56d516d9e16ff97a3b7d8dc009ed897f649bb44b2e76131d
gr_physics	2014	Gravitational Radiation from Post-Newtonian Sources and Inspiralling Compact Binaries	https://arxiv.org/pdf/1310.1528.pdf	TEXTBOOK_Blanchet_Post_Newtonian_Gravitational_Radiation.pdf	4235287	160	c3b1b7c454e15b65bade4245a8e6d61b6e5c0546baaee436a17b99ef6983b4a8
gr_physics	2017	Gravitational Lensing and Black Holes	https://arxiv.org/pdf/1703.04751.pdf	TEXTBOOK_Bozza_Gravitational_Lensing_and_Black_Holes.pdf	3847076	80	8dafcd626faf86177a72e316c1cf9a1f2330be1214b4094d2c2ec4adf905ee86
gr_physics	2018	Self-force and radiation reaction in general relativity	https://arxiv.org/pdf/1805.10385.pdf	TEXTBOOK_Barack_Pound_Self_Force_Radiation_Reaction.pdf	6055399	137	7d1ebab454b69a7c8536c8885c2248e5171bd618930c2af0af7f87f342c693c2
